rank,naslov,ocena,deli,popularnost,žanri,revija
56,The Horizon,8.70,3,156,"['Adventure', 'Drama']",Comica
57,Veil,8.70,Ni končana,1686,"['Romance', 'Slice of Life']",Nismo našli revije
58,Utsuro no Hako to Zero no Maria,8.70,7,137,"['Action', 'Drama', 'Horror', 'Mystery', 'Romance', 'Supernatural', 'Suspense']",Nismo našli revije
59,Kusuriya no Hitorigoto,8.69,Ni končana,1697,"['Drama', 'Mystery']",Nismo našli revije
60,Death Note,8.69,12,13,"['Supernatural', 'Suspense']",Shounen Jump (Weekly)
61,Beck,8.69,34,191,"['Award Winning', 'Drama', 'Romance']",Shounen Magazine (Monthly)
62,Kono Oto Tomare!,8.69,Ni končana,388,['Drama'],Jump SQ.
63,Dorohedoro,8.68,23,49,"['Action', 'Comedy', 'Fantasy', 'Horror']",Gessan
64,Solo Leveling,8.67,Ni končana,5,"['Action', 'Adventure', 'Fantasy']",KakaoPage
65,Bungou Stray Dogs: Beast,8.67,4,1249,"['Action', 'Mystery', 'Supernatural']",Shounen Ace
66,Kaoru Hana wa Rin to Saku,8.67,Ni končana,256,"['Drama', Romance]",Magazine pocket
67,Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari,8.66,5,5172,"['Drama', 'Horror', 'Mystery', 'Supernatural']",Nismo našli revije
68,Yokohama Kaidashi Kikou,8.66,14,206,"['Award Winning', 'Sci-Fi', 'Slice of Life']",Afternoon
69,Akira,8.66,6,91,"['Action', 'Award Winning', 'Sci-Fi']",Young Magazine (Weekly)
70,Natsume Yuujinchou,8.66,Ni končana,383,"['Drama', 'Supernatural']",LaLa
71,Yagate Kimi ni Naru,8.66,8,129,"['Drama', 'Girls Love']",Dengeki Daioh
72,Kimi no Suizou wo Tabetai,8.65,1,2523,"['Drama', 'Romance']",Nismo našli revije
73,Sayonara Eri,8.65,1,101,"['Drama']",Shounen Jump+
74,Wind Breaker,8.64,Ni končana,304,"['Action', 'Drama', 'Sports']",Naver Webtoon
75,ReLIFE,8.64,15,64,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",comico
76,Kozure Ookami,8.64,28,359,['Action'],Manga Action
77,Zaregoto Series,8.64,Ni končana,762,"['Action', 'Drama', 'Mystery', 'Supernatural']",Nismo našli revije
78,Gintama,8.63,77,148,"['Action', 'Comedy', 'Sci-Fi']",Shounen Jump (Weekly)
79,Aria,8.63,12,459,"['Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Slice of Life']",Comic Blade
80,Violet Evergarden,8.63,2,651,"['Drama', 'Fantasy']",Nismo našli revije
81,Tongari Boushi no Atelier,8.63,Ni končana,159,['Fantasy'],Morning Two
82,Mo Dao Zu Shi,8.63,Ni končana,1421,"['Action', 'Adventure', 'Boys Love', 'Mystery', 'Supernatural']",Kuaikan Manhua
83,Golden Kamuy,8.63,31,150,"['Action', 'Adventure', 'Award Winning']",Young Jump
84,Overlord,8.62,Ni končana,257,"['Action', 'Fantasy']",Nismo našli revije
85,Blue Period,8.62,Ni končana,97,"['Award Winning', 'Drama']",Afternoon
86,Pluto,8.62,8,102,"['Action', 'Award Winning', 'Mystery', 'Sci-Fi', 'Suspense']",Big Comic Original
87,Shinyaku Toaru Majutsu no Index,8.62,23,1256,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi', 'Supernatural']",Nismo našli revije
88,Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch,8.61,9,1474,"['Drama', 'Mystery', 'Supernatural', 'Suspense']",Shounen Gangan
