rank,naslov,ocena,deli
141,The Legend of the Northern Blade,8.51,Ni končana
142,Hirayasumi,8.51,Ni končana
143,Steins;Gate,8.51,5
144,Kakukaku Shikajika,8.51,5
145,Given,8.51,9
146,Bungou Stray Dogs,8.50,Ni končana
147,Yagate Kimi ni Naru: Saeki Sayaka ni Tsuite,8.50,3
148,Yubisaki to Renren,8.50,Ni končana
149,Ouran Koukou Host Club,8.50,18
150,Fate/Zero,8.50,4
251,Azumanga Daioh,8.36,4
252,Shadows House,8.36,Ni končana
253,Her Tale of Shim Chong,8.35,7
254,Kieta Hatsukoi,8.35,9
255,Watashi no Oshi wa Akuyaku Reijou.: Revolution,8.35,Ni končana
256,Fate/strange Fake,8.35,Ni končana
257,Wotaku ni Koi wa Muzukashii,8.35,11
258,Konjiki no Gash!!,8.35,33
259,Homunculus,8.35,15
260,Umineko no Naku Koro ni - Episode 3: Banquet of the Golden Witch,8.35,5
261,Ballroom e Youkoso,8.35,Ni končana
262,Gochuumon wa Usagi desu ka?,8.34,Ni končana
263,Versailles no Bara,8.34,10
264,Kanata kara,8.34,14
265,Ten: Tenhou-doori no Kaidanji,8.34,18
266,Piano no Mori,8.33,26
267,Hadashi no Gen,8.33,10
268,Machida-kun no Sekai,8.33,7
269,Mahoutsukai no Yome,8.33,Ni končana
270,Whale Star: The Gyeongseong Mermaid,8.33,6
271,Kimi no Yoru ni Fureru,8.33,1
272,I Shall Master This Family,8.33,Ni končana
273,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 0,8.33,1
274,Gin no Saji,8.33,15
275,Naruto Shinden Series,8.33,3
276,Mairimashita! Iruma-kun,8.33,Ni končana
277,Totsukuni no Shoujo,8.32,11
278,Youjo Senki,8.32,Ni končana
279,Bleach: Can't Fear Your Own World,8.32,3
280,Ikoku Nikki,8.32,11
281,Shousetsu Kimi no Na wa.,8.32,1
282,Dandadan,8.32,Ni končana
283,Lovely★Complex,8.32,17
284,Gakuen Alice,8.32,31
285,Shin Angyo Onshi,8.32,17
286,Full Metal Panic! Sigma,8.32,19
287,Saikyou Densetsu Kurosawa,8.32,11
288,Hoshi no Samidare,8.32,10
289,Durarara!!,8.32,13
290,Mushishi Tokubetsu-hen: Hihamukage,8.32,1
291,Harukaze no Étranger,8.32,Ni končana
292,Canis Series,8.31,Ni končana
293,Mars,8.31,15
294,Touch,8.31,26
295,Black Jack,8.31,25
296,Daichouhen Doraemon,8.31,24
297,Teito Seihai Kitan: Fate/type Redline,8.31,Ni končana
298,Ookami Kodomo no Ame to Yuki,8.31,3
299,Saiki Kusuo no Ψ-nan,8.30,26
300,Kimi ni Todoke,8.30,30
351,Magi,8.26,37
352,Katanagatari,8.26,12
353,Shouwa Genroku Rakugo Shinjuu,8.26,10
354,Yuki no Yousei,8.26,1
355,Leviathan,8.25,Ni končana
356,Planetes,8.25,4
357,JoJo no Kimyou na Bouken Part 6: Stone Ocean,8.25,17
358,Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun,8.25,Ni končana
359,Kuragehime,8.25,17
360,Sunny,8.25,6
361,Ansatsu Kyoushitsu,8.25,21
362,Feng Shen Ji II,8.25,Ni končana
363,Sword Art Online: Progressive,8.25,Ni končana
364,Feng Shen Ji III,8.25,Ni končana
365,No.6,8.24,9
366,Hikari to Tomo ni...: Jiheishouji wo Kakaete,8.24,15
367,Hai to Gensou no Grimgar,8.24,Ni končana
368,SSS-Class Revival Hunter,8.24,Ni končana
369,Akuyaku Reijou no Naka no Hito: Danzai sareta Tenseisha no Tame Usotsuki Heroine ni Fukushuu Itashimasu,8.24,Ni končana
370,Hidamari ga Kikoeru: Limit,8.24,3
371,Jigokuraku,8.24,13
372,Uma Musume Cinderella Gray,8.24,Ni končana
373,"Mata, Onaji Yume wo Miteita",8.24,1
374,Kishuku Gakkou no Juliet,8.24,16
375,Koimonogatari,8.24,Ni končana
376,Taishou Otome Otogibanashi,8.24,5
377,Beastars,8.24,22
378,Kaichou wa Maid-sama!: Marriage,8.23,1
379,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,8.23,Ni končana
380,Danshi Koukousei no Nichijou,8.23,7
381,Petshop of Horrors,8.23,10
382,Initial D,8.23,48
383,Shonan Junai Gumi!,8.23,31
384,Rookies,8.23,24
385,Akagami no Shirayuki-hime,8.23,Ni končana
386,Diamond no Ace,8.23,47
387,Yuru Yuri,8.23,Ni končana
388,Act-age,8.23,12
389,Boku no Kokoro no Yabai Yatsu,8.23,Ni končana
390,King's Maker,8.23,3
391,Mayonaka Heart Tune,8.23,Ni končana
392,Yugami-kun ni wa Tomodachi ga Inai,8.22,16
393,Urasekai Picnic,8.22,Ni končana
394,Ghost Hunt,8.22,12
395,Genshiken,8.22,21
396,Eden: It's an Endless World!,8.22,18
397,Silver Diamond,8.22,27
398,Boogiepop Series,8.22,Ni končana
399,Sanctuary,8.22,12
400,Cat Street,8.22,8
